Sorting Algorith Name,Array Length,Num. of Comparisons,Run Time
insertion_sort,400,38791,4.889
merge_sort,400,3488,1.075
quick_sort,400,399,0.4869
bubble_sort,400,79800,9.6591
optimal_bubble_sort,400,399,0.0341
heap_sort,400,2526,1.3137
general_count_sort,400,0,0.1469
selection_sort,800,319600,22.3298
insertion_sort,800,156435,22.2456
merge_sort,800,7776,2.4948
quick_sort,800,799,1.2481
bubble_sort,800,319600,47.9524
optimal_bubble_sort,800,799,0.0751
heap_sort,800,5764,3.356
general_count_sort,800,0,0.4025
selection_sort,1000,499500,36.9065
insertion_sort,1000,251466,34.6205
merge_sort,1000,9976,2.9602
quick_sort,1000,999,1.5361
bubble_sort,1000,499500,68.7521
optimal_bubble_sort,1000,999,0.1361
heap_sort,1000,7370,4.5161
general_count_sort,1000,0,0.3989
selection_sort,2000,1999000,145.6804
insertion_sort,2000,975048,154.8975
merge_sort,2000,21952,6.6152
quick_sort,2000,1999,3.5534
bubble_sort,2000,1999000,279.706
optimal_bubble_sort,2000,1999,0.1764
heap_sort,2000,15997,8.3132
general_count_sort,2000,0,0.73
selection_sort,100,4950,0.3476
insertion_sort,100,2439,0.3035
merge_sort,100,672,0.2542
quick_sort,100,99,0.104
bubble_sort,100,4950,0.6192
optimal_bubble_sort,100,99,0.0105
heap_sort,100,463,0.2668
general_count_sort,100,0,0.0565
selection_sort,100,4950,0.3538
insertion_sort,100,2622,0.6602
merge_sort,100,672,0.2689
quick_sort,100,99,0.1109
bubble_sort,100,4950,1.0731
optimal_bubble_sort,100,99,0.0103
heap_sort,100,466,0.2613
general_count_sort,100,0,0.0463
selection_sort,100,4950,0.3965
insertion_sort,100,2468,0.325
merge_sort,100,672,0.2575
quick_sort,100,99,0.1087
bubble_sort,100,4950,0.6275
optimal_bubble_sort,100,99,0.01
heap_sort,100,463,0.2625
general_count_sort,100,0,0.0465
selection_sort,100,4950,0.3424
insertion_sort,100,2757,0.339
merge_sort,100,672,0.2668
quick_sort,100,99,0.114
bubble_sort,100,4950,0.6258
optimal_bubble_sort,100,99,0.0114
heap_sort,100,463,0.2604
general_count_sort,100,0,0.0498
selection_sort,100,4950,0.3459
insertion_sort,100,2863,0.3603
merge_sort,100,672,0.2596
quick_sort,100,99,0.1044
bubble_sort,100,4950,0.6425
optimal_bubble_sort,100,99,0.0105
heap_sort,100,464,0.2642
general_count_sort,100,0,0.047
selection_sort,100,4950,0.3526
insertion_sort,100,2744,0.3672
merge_sort,100,672,0.2618
quick_sort,100,99,0.1185
bubble_sort,100,4950,0.6394
optimal_bubble_sort,100,99,0.0107
heap_sort,100,439,0.2539
general_count_sort,100,0,0.0477
selection_sort,100,4950,0.3424
insertion_sort,100,2881,0.3557
merge_sort,100,672,0.2718
quick_sort,100,99,0.107
bubble_sort,100,4950,0.669
optimal_bubble_sort,100,99,0.0105
heap_sort,100,471,0.2675
